Itinerary: ['earth', 'venus', 'earth', 'pluto']
case #: launch date, tof of each leg
15389 : 2029-02-10, [0.20214077321686805, 0.08197417399477254, 16.96588505278836]
15390 : 2029-02-10, [0.7042280918602625, 1.2763977281744394, 15.519374179965297]
15391 : 2029-02-10, [1.5873114848352676, 0.7038697878147537, 15.458818727349977]
15392 : 2029-02-10, [0.16227309458005343, 0.5397366225427339, 17.297990282877215]
15393 : 2029-02-10, [0.1935693786650898, 0.8107829085566308, 17.24564771277828]
15394 : 2029-02-10, [1.0264346336408665, 0.14229038263292038, 17.331274983726214]
15395 : 2029-02-10, [0.6897787057428872, 0.9748764872564393, 17.085344807000673]
15396 : 2029-02-10, [0.5067820996460937, 1.191155342096662, 17.302062558257248]
15397 : 2029-02-10, [0.31342822696714834, 0.8592041554882456, 18.077367617544606]
15398 : 2029-02-10, [0.11468024721723882, 0.13970842522227997, 19.245611327560482]
15399 : 2029-02-10, [0.6117454545820956, 0.7146343957751515, 18.42362014964275]
15400 : 2029-02-10, [0.07136527237752747, 0.2037152030060508, 19.72491952461642]
15401 : 2029-02-10, [1.0042121372182076, 0.06161973625783986, 19.184168126523954]
15402 : 2029-02-10, [0.12878337737648132, 0.60057147205653, 19.77064515056699]
15403 : 2029-02-10, [0.3714169403393911, 0.9511539050400356, 19.427429154620572]
15404 : 2029-02-10, [0.6295571104086548, 0.368029203145577, 20.002413686445767]
15405 : 2029-02-10, [0.2988349575830827, 0.13330322652754228, 20.817861815889376]
15406 : 2029-02-10, [0.3811312403311666, 1.1225903759490583, 19.996278383719776]
15407 : 2029-02-10, [0.4517217266237439, 0.210411045830385, 21.08786722754587]
15408 : 2029-02-10, [1.1902385789676762, 0.189342521326664, 20.620418899705662]
15409 : 2029-02-10, [0.5939531678746988, 0.7865633768433368, 20.869483455281966]
15410 : 2029-02-10, [0.664490270266378, 0.5788009380289134, 21.256708791704707]
15411 : 2029-02-10, [1.556945465956907, 0.5249375652820429, 20.668116968761048]
15412 : 2029-02-10, [1.002963296107234, 1.8480975978831315, 20.14893910600963]
15413 : 2029-02-10, [0.5824285282211619, 0.6258324510711674, 22.04173902070767]
15414 : 2029-02-10, [1.2146389617914264, 0.15115117022330246, 22.134209867985273]
15415 : 2029-02-10, [1.0068683148579236, 1.7545098147676754, 20.9886218703744]
15416 : 2029-02-10, [0.9357431073140382, 1.8751333655753872, 21.189123527110574]
15417 : 2029-02-10, [0.8444227757729618, 2.0356722512446863, 21.36990497298235]
15418 : 2029-02-10, [0.6610385027306963, 0.4642429002522161, 23.374718597017086]
15419 : 2029-02-10, [0.05504228610481084, 0.518154480946129, 24.176803232949062]
15420 : 2029-02-20, [0.39434363589588967, 0.5497195668653188, 9.055936797238791]
15421 : 2029-02-20, [0.34734395902850784, 0.19523760690664163, 9.70741843406485]
15422 : 2029-02-20, [0.35454523217170275, 0.20134073804917355, 9.944114029779124]
15423 : 2029-02-20, [0.3613047066345711, 0.20840483945344643, 10.180290453911983]
15424 : 2029-02-20, [0.3686841938662539, 0.2161138277995546, 10.41520197833419]
15425 : 2029-02-20, [0.3776379141655595, 0.2247444907490491, 10.647617595085391]
15426 : 2029-02-20, [0.3858099489624209, 0.2344850460244024, 10.879705005013177]
15427 : 2029-02-20, [0.39232529425032864, 0.24395354096389124, 11.113721164785781]
15428 : 2029-02-20, [0.40143441564337323, 0.2551085918121975, 11.343456992544429]
15429 : 2029-02-20, [0.41155553282298396, 0.26970499726262814, 11.568739469914387]
15430 : 2029-02-20, [0.42095008624673264, 0.2881317945257737, 11.790918119227493]
15431 : 2029-02-20, [0.4337109562234949, 0.31301017432225203, 12.003278869454252]
15432 : 2029-02-20, [0.451603058952733, 0.34975322368460005, 12.198643717362666]
15433 : 2029-02-20, [0.4763831257899346, 0.4094180814828786, 12.364198792727187]
15434 : 2029-02-20, [0.5011127962604627, 0.48583342853912515, 12.513053775200413]
15435 : 2029-02-20, [0.0663395682941601, 0.11174430555042464, 13.571916126155415]
15436 : 2029-02-20, [0.07523382209403813, 0.4167534209897749, 13.508012756916187]
15437 : 2029-02-20, [1.0552128343470475, 0.29664120585584663, 12.898145959797107]
15438 : 2029-02-20, [0.35309590938253105, 0.5694093275626426, 13.577494763054826]
15439 : 2029-02-20, [0.19279253398429178, 0.07731038590989871, 14.47989708010581]
15440 : 2029-02-20, [0.6943301623633759, 0.729643819342166, 13.57602601829446]
15441 : 2029-02-20, [0.04100879725118417, 0.6142035638421142, 14.594787638906702]
15442 : 2029-02-20, [0.8820679004914, 0.10420087606276855, 14.51373122344583]
15443 : 2029-02-20, [0.19463616051282343, 0.46956572411984954, 15.085798115367327]
15444 : 2029-02-20, [0.6173885072848935, 0.5069387195657779, 14.875672773149331]
15445 : 2029-02-20, [0.1721743544733401, 0.058971292678693804, 16.018854352847967]
15446 : 2029-02-20, [1.0903635340188946, 0.1734630939726878, 15.236173372008416]
15447 : 2029-02-20, [0.14397096048454594, 0.5729970059904607, 16.033032033524993]
15448 : 2029-02-20, [0.1357650142254724, 0.43407686976669074, 16.43015811600784]
15449 : 2029-02-20, [1.048931274894086, 0.1770732660901503, 16.023995459015765]
