Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2438  : 2023-02-10, [0.14126416284021642, 3.1209511935527, 16.237784643607082]
2439  : 2023-02-10, [0.15008363523561963, 3.1535647875929356, 16.446351577171445]
2440  : 2023-02-10, [0.15902800559009467, 3.1853099142504147, 16.65566208015949]
2441  : 2023-02-10, [0.16957408639094335, 3.2147114554835325, 16.865714458125524]
2442  : 2023-02-10, [0.18164034837377985, 3.23683923011024, 17.081520421515982]
2443  : 2023-02-10, [0.19243941628598205, 3.2610812633542636, 17.296479320359758]
2444  : 2023-02-10, [0.20489047961461074, 3.281850973540965, 17.513258546844423]
2445  : 2023-02-10, [0.21747349175640213, 3.3013069061338443, 17.731219602109753]
2446  : 2023-02-10, [0.23302048246283588, 3.3076310085820064, 17.959348508955156]
2447  : 2023-02-10, [0.24732156745844494, 3.3165010169758147, 18.18617741556574]
2448  : 2023-02-10, [0.26326698760575645, 3.322249506936589, 18.414483505457657]
2449  : 2023-02-10, [0.2792860651564013, 3.320781092257692, 18.64993284258591]
2450  : 2023-02-10, [0.29566292831105534, 3.324952217485822, 18.879384854203124]
2451  : 2023-02-10, [0.5030133073935374, 1.9615352164680318, 20.28545147613843]
2452  : 2023-02-10, [0.527069455098766, 1.9265056224310344, 20.5464249224702]
2453  : 2023-02-10, [0.5538499591329388, 1.883517576836461, 20.8126324640306]
2454  : 2023-02-10, [0.5801834745720712, 1.8445582870196897, 21.07525823840824]
2455  : 2023-02-10, [0.609499092740732, 1.7982768027915534, 21.342224104467714]
2456  : 2023-02-10, [0.6378237125946405, 1.7540662405038463, 21.608110046901515]
2457  : 2023-02-10, [0.7977051617305901, 1.3847157759109952, 22.067579062358416]
2458  : 2023-02-10, [0.8399717635586897, 1.3228904072878709, 22.337137829153438]
2459  : 2023-02-10, [0.8839121452837918, 1.259138708618878, 22.60694914609733]
2460  : 2023-02-20, [0.1286515808089202, 1.2460973863516818, 8.6252510328394]
2461  : 2023-02-20, [0.13618290937933614, 1.2756243833669791, 8.838192707253686]
2462  : 2023-02-20, [0.14390944875968487, 1.3043418735514756, 9.05174867768884]
2463  : 2023-02-20, [0.15187626061148318, 1.3330690789999993, 9.265054660388516]
2464  : 2023-02-20, [0.16002313980007543, 1.361724284442435, 9.47825257575749]
2465  : 2023-02-20, [0.1683953466917624, 1.3897155565647836, 9.691889096743454]
2466  : 2023-02-20, [0.1770246565875856, 1.4177274158420794, 9.905247927570334]
2467  : 2023-02-20, [0.18584215022458347, 1.445676837774185, 10.118481012001231]
2468  : 2023-02-20, [0.1957536518668667, 1.470729860606882, 10.33351648752625]
