Itinerary: ['earth', 'venus', 'pluto']
4575  : 2024-02-10, [0.20538120751281044, 13.544618792487189]
4576  : 2024-02-10, [0.2071323938283328, 13.792867606171669]
4577  : 2024-02-10, [0.21032180869568315, 14.039678191304318]
4578  : 2024-02-10, [0.21195332621590474, 14.288046673784095]
4579  : 2024-02-10, [0.21508836614337348, 14.534911633856627]
4580  : 2024-02-10, [0.21820847125774137, 14.781791528742259]
4581  : 2024-02-10, [0.21968740517587163, 15.030312594824128]
4582  : 2024-02-10, [0.2227539592033222, 15.277246040796678]
4583  : 2024-02-10, [0.2258061133876979, 15.524193886612304]
4584  : 2024-02-10, [0.23053497485083468, 15.769465025149167]
4585  : 2024-02-10, [0.23358172713036826, 16.016418272869632]
4586  : 2024-02-10, [0.23833278065950383, 16.2616672193405]
4587  : 2024-02-10, [0.21560976262616577, 16.534390237373835]
4588  : 2024-02-10, [0.2183001384994754, 16.781699861500524]
4589  : 2024-02-10, [0.2307598411656077, 17.019240158834393]
4590  : 2024-02-10, [0.22363692827904094, 17.276363071720958]
4591  : 2024-02-10, [0.2200782271938156, 17.529921772806187]
4592  : 2024-02-10, [0.211791092437834, 17.78820890756217]
4593  : 2024-02-10, [1.1789732144871519, 17.071026785512846]
4594  : 2024-02-10, [0.25258463734059344, 18.247415362659407]
4595  : 2024-02-10, [0.2554044862427444, 18.494595513757258]
4596  : 2024-02-10, [0.25618345616296634, 18.743816543837035]
4597  : 2024-02-10, [0.2568880925990576, 18.993111907400944]
4598  : 2024-02-10, [0.253247171270184, 19.246752828729814]
4599  : 2024-02-10, [0.2515283349182444, 19.498471665081755]
4600  : 2024-02-10, [0.2518776636412751, 19.748122336358723]
4601  : 2024-02-10, [0.24519519065542034, 20.00480480934458]
4602  : 2024-02-10, [0.2404388179801249, 20.259561182019876]
4603  : 2024-02-10, [0.23280011434501005, 20.51719988565499]
4604  : 2024-02-10, [0.22460430469592588, 20.775395695304073]
4605  : 2024-02-10, [0.2130176021417885, 21.03698239785821]
4606  : 2024-02-10, [1.0971712659797972, 20.402828734020204]
4607  : 2024-02-10, [1.1503711273276627, 20.599628872672337]
4608  : 2024-02-10, [1.1432596082870574, 20.856740391712943]
4609  : 2024-02-10, [1.1585788218863695, 21.09142117811363]
4610  : 2024-02-10, [1.1560145652884783, 21.343985434711524]
4611  : 2024-02-10, [1.1838663649718657, 21.566133635028134]
4612  : 2024-02-10, [1.2145466797537272, 21.785453320246273]
