Itinerary: ['earth', 'venus', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
10943 : 2027-01-20, [0.16728521514862529, 2.4887864214219495, 13.093928363429425]
10944 : 2027-01-20, [0.14038917738941709, 2.4779007288871946, 13.381710093723388]
10945 : 2027-01-20, [0.15174772326699495, 2.5550075233156515, 13.543244753417353]
10946 : 2027-01-20, [0.14570820536942763, 2.5993313096082589, 13.754960485022313]
10947 : 2027-01-20, [0.0969078275790827, 2.5502876145700859, 14.102804557850829]
10948 : 2027-01-20, [0.089063562190884932, 2.5928008070868955, 14.318135630722219]
10949 : 2027-01-20, [0.071774416409245298, 2.6130631608594208, 14.565162422731333]
10950 : 2027-01-20, [1.1836577110784123, 2.4867462735856654, 13.829596015335921]
10951 : 2027-01-20, [1.1804917205135492, 2.4122215203481461, 14.157286759138303]
10952 : 2027-01-20, [1.1808748357016423, 2.3820848695337249, 14.43704029476463]
10953 : 2027-01-20, [1.166233537643157, 2.2875724585878459, 14.796194003768997]
10954 : 2027-01-20, [0.072373797307539844, 2.3271343559973543, 16.100491846695107]
10955 : 2027-01-20, [1.1318952112426024, 2.114248078427555, 15.503856710329844]
10956 : 2027-01-20, [1.103520007739941, 1.9611258948298684, 15.93535409743019]
10957 : 2027-01-20, [1.0834979749702833, 1.8451046798725441, 16.321397345157173]
10958 : 2027-01-20, [1.05021862902748, 1.6720944060599956, 16.777686964912522]
10959 : 2027-01-20, [0.66798102853314201, 4.3012705816353076, 14.780748389831549]
10960 : 2027-01-20, [0.54209437939674987, 4.1130957659881151, 15.344809854615134]
10961 : 2027-01-20, [0.58473928381884666, 3.8553323253719571, 15.809928390809196]
10962 : 2027-01-20, [1.1130468078578672, 1.8337843559297375, 17.553168836212397]
10963 : 2027-01-20, [0.61358493575884021, 5.1757609600300007, 14.960654104211159]
10964 : 2027-01-20, [0.76825330082409449, 5.6681344394603617, 14.563612259715542]
10965 : 2027-01-20, [1.4942063703458552, 3.4699373698587777, 16.28585625979537]
10966 : 2027-01-20, [0.48912075479521838, 5.2831150713187398, 15.727764173886042]
10967 : 2027-01-20, [0.3826068422406676, 0.91527611894803185, 20.452117038811302]
10968 : 2027-01-20, [0.58133165915402463, 3.8242539854299511, 17.594414355416028]
10969 : 2027-01-20, [1.2037271746492362, 2.0312256794646788, 19.015047145886083]
10970 : 2027-01-20, [1.9090202752853562, 4.8620992369177332, 15.728880487796912]
10971 : 2027-01-20, [1.8239286088603806, 4.5599388586762704, 16.36613253246335]
10972 : 2027-01-20, [0.74449927414825112, 4.2869499494954999, 17.968550776356246]
10973 : 2027-01-20, [1.1082615515674574, 1.5249481743816298, 20.616790274050913]
10974 : 2027-01-20, [0.71454287488428059, 5.4792396326187687, 17.306217492496952]
10975 : 2027-01-20, [1.8688130386099917, 4.58007014235573, 17.301116819034281]
10976 : 2027-01-20, [1.214801940020398, 1.8948559544879573, 20.890342105491648]
10977 : 2027-01-20, [0.35732097613632197, 4.3510260130473855, 19.541653010816294]
10978 : 2027-01-20, [1.6875590114218508, 3.8281087807197598, 18.984332207858387]
10979 : 2027-01-20, [0.89750776939905208, 8.1310062572600366, 15.721485973340911]
10980 : 2027-02-01, [0.24162238300014274, 1.6065935415728854, 8.1517840754269724]
10981 : 2027-02-01, [0.24174947925840606, 1.6392365775406885, 8.3690139432009047]
10982 : 2027-02-01, [0.23922566940536605, 1.6644537250534965, 8.5963206055411376]
10983 : 2027-02-01, [0.23855557825558896, 1.6959820915207608, 8.8154623302236494]
10984 : 2027-02-01, [0.23762449663318641, 1.7283133152985246, 9.0340621880682903]
10985 : 2027-02-01, [0.22658468562634473, 1.7362435899069433, 9.2871717244667114]
10986 : 2027-02-01, [0.21948795180732814, 1.7500106623636429, 9.5305013858290284]
10987 : 2027-02-01, [0.21165780028186956, 1.769157517857217, 9.7691846818609136]
10988 : 2027-02-01, [0.19466901883102367, 1.7650776741918199, 10.040253306977156]
10989 : 2027-02-01, [0.17612599090147751, 1.758430732794156, 10.315443276304368]
10990 : 2027-02-01, [0.21718009885129702, 1.8854131619790386, 10.397406739169664]
10991 : 2027-02-01, [0.21306638465333699, 1.9119980750003234, 10.624935540346341]
10992 : 2027-02-01, [0.22072735153761244, 1.9710897798679148, 10.808182868594473]
10993 : 2027-02-01, [0.20341410920339562, 1.9625295924979713, 11.084056298298632]
10994 : 2027-02-01, [0.19809222024562015, 1.9899574191255638, 11.311950360628817]
10995 : 2027-02-01, [0.2118713803273867, 2.0623851173735011, 11.475743502299112]
10996 : 2027-02-01, [0.20620498651709743, 2.0906880229421989, 11.703106990540705]
10997 : 2027-02-01, [0.19991781671434322, 2.1165801345051944, 11.93350204878046]
10998 : 2027-02-01, [0.19312936665586664, 2.1413050338696737, 12.16556559947446]
10999 : 2027-02-01, [0.18941709387233821, 2.1723007580593086, 12.388282148068352]
11000 : 2027-02-01, [0.18550357373772794, 2.2056285687629797, 12.608867857499291]
11001 : 2027-02-01, [0.18138666370483048, 2.2409130766637917, 12.827700259631378]
11002 : 2027-02-01, [0.16890185466828225, 2.2565959853461819, 13.074502159985535]
11003 : 2027-02-01, [0.16378636731029145, 2.2897579065351241, 13.296455726154585]
