Itinerary: ['earth', 'earth', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2449  : 2023-02-10, [0.07006573822123362, 3.486931331474042, 18.693002930304726]
2450  : 2023-02-10, [0.06533802548208414, 3.579109378456535, 18.85555259606138]
2451  : 2023-02-10, [0.060486088449947246, 3.67595519233482, 19.01355871921523]
2452  : 2023-02-10, [0.04965523977381409, 3.7997607816315777, 19.150583978594607]
2453  : 2023-02-10, [0.05663620800180096, 3.9345610887372384, 19.25880270326096]
2454  : 2023-02-10, [0.036231054784550416, 4.098084979783712, 19.36568396543174]
2455  : 2023-02-10, [0.021357352978560718, 4.20913219510224, 19.519510451919196]
2456  : 2023-02-10, [0.006027093080423376, 4.072256630705739, 19.921716276213836]
2457  : 2023-02-10, [0.014451562108558035, 0.9139936834172483, 23.321554754474196]
2458  : 2023-02-10, [0.015407906425279755, 4.164635046545696, 20.31995704702903]
2459  : 2023-02-10, [0.03629156204988003, 3.846386206746019, 20.8673222312041]
2460  : 2023-02-20, [1.0163605078749002e-09, 1.2435726744723952, 8.756427324511245]
2461  : 2023-02-20, [1.0419683924497059e-09, 1.280381161189859, 8.969618837768172]
2462  : 2023-02-20, [1.0673926774063542e-09, 1.3168475150233327, 9.183152483909273]
2463  : 2023-02-20, [1.0929952752644873e-09, 1.3542123667183301, 9.395787632188673]
2464  : 2023-02-20, [1.1184340352854417e-09, 1.3912377003066452, 9.60876229857492]
2465  : 2023-02-20, [1.1440899507254524e-09, 1.429235273304574, 9.820764725551337]
2466  : 2023-02-20, [1.1697602425322535e-09, 1.4675415393708122, 10.032458459459429]
2467  : 2023-02-20, [1.1954144508670243e-09, 1.5061190429511981, 10.243880955853387]
2468  : 2023-02-20, [1.2211146768626387e-09, 1.5450467294608796, 10.454953269318006]
2469  : 2023-02-20, [1.2470589945045027e-09, 1.5850570999310565, 10.664942898821884]
2470  : 2023-02-20, [1.2727929921828357e-09, 1.6246268438717335, 10.875373154855472]
2471  : 2023-02-20, [1.298780484801253e-09, 1.665317822698264, 11.084682176002955]
2472  : 2023-02-20, [1.3247583388671312e-09, 1.7063164103472066, 11.293683588328037]
2473  : 2023-02-20, [1.3507922786145211e-09, 1.7477077981141205, 11.502292200535088]
2474  : 2023-02-20, [1.377066230972237e-09, 1.7902682146831235, 11.70973178393981]
2475  : 2023-02-20, [1.4031868152419797e-09, 1.8324278143929733, 11.91757218420384]
2476  : 2023-02-20, [1.4295195318398455e-09, 1.87574678783248, 12.124253210738]
2477  : 2023-02-20, [1.4559190743931993e-09, 1.91950157549531, 12.33049842304877]
2478  : 2023-02-20, [1.4823501337350709e-09, 1.9636465811899844, 12.536353417327666]
2479  : 2023-02-20, [1.5088128245958314e-09, 2.008182400156672, 12.741817598334515]
2480  : 2023-02-20, [1.5355461210896637e-09, 2.0540335617904764, 12.945966436673977]
2481  : 2023-02-20, [1.5623568916156888e-09, 2.1003638129601705, 13.149636185477473]
2482  : 2023-02-20, [1.5891677028339538e-09, 2.1470696520210657, 13.352930346389767]
2483  : 2023-02-20, [1.6160566102085613e-09, 2.194256496591544, 13.555743501792398]
2484  : 2023-02-20, [1.6432813648725576e-09, 2.2429276287541193, 13.757072369602602]
2485  : 2023-02-20, [1.6705123623722436e-09, 2.292009298951803, 13.957990699377685]
2486  : 2023-02-20, [1.6978318153020186e-09, 2.3416137780979023, 14.15838622020427]
2487  : 2023-02-20, [1.7251983588958085e-09, 2.3916842864185037, 14.358315711856298]
2488  : 2023-02-20, [1.7526120327897489e-09, 2.4422203804805074, 14.557779617766883]
