Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
126   : 2022-01-20, [0.21939054675589847, 0.964332921089209, 10.316276532154893]
127   : 2022-01-20, [0.22251159469966417, 0.9761806409710838, 10.551307764329252]
128   : 2022-01-20, [0.22555770088650273, 0.9876261468589882, 10.78681615225451]
129   : 2022-01-20, [0.2285353839113026, 0.9988593706848424, 11.022605245403856]
130   : 2022-01-20, [0.23014843894524098, 1.0015536711736837, 11.268297889881074]
131   : 2022-01-20, [0.23296253318050475, 1.0117228314042699, 11.505314635415225]
132   : 2022-01-20, [0.2357197702673764, 1.0213984552430748, 11.74288177448955]
133   : 2022-01-20, [0.23840937773685755, 1.030873175287355, 11.980717446975786]
134   : 2022-01-20, [0.2410754219476058, 1.0407034651673528, 12.218221112885042]
135   : 2022-01-20, [0.24218375903751893, 1.040561703418685, 12.467254537543797]
136   : 2022-01-20, [0.24465863592266457, 1.0486560592247884, 12.706685304852547]
137   : 2022-01-20, [0.24710250528187183, 1.0572848744792196, 12.945612620238908]
138   : 2022-01-20, [0.24943181397016587, 1.0645947866259553, 13.18597339940388]
139   : 2022-01-20, [0.2517070958972023, 1.0713895961044675, 13.42690330799833]
140   : 2022-01-20, [0.252337636754149, 1.0684840271614482, 13.679178336084403]
141   : 2022-01-20, [0.25451428093432243, 1.0756195581192083, 13.91986616094647]
142   : 2022-01-20, [0.25501368144257525, 1.072396992041208, 14.172589326516217]
143   : 2022-01-20, [0.2569976490068894, 1.0776412419020445, 14.415361109091064]
144   : 2022-01-20, [0.25168749676256486, 1.034702486218513, 14.713610017018922]
145   : 2022-01-20, [0.24897234999118864, 1.0396092017088818, 14.961418448299929]
146   : 2022-01-20, [0.25200251871691554, 1.043869989668566, 15.20412749161452]
147   : 2022-01-20, [0.2509771964774589, 1.0259494472244053, 15.473073356298135]
148   : 2022-01-20, [0.2507831203613446, 1.0186069303538376, 15.730609949284817]
149   : 2022-01-20, [0.22696497345851258, 0.8945153410214226, 16.128519685520065]
150   : 2022-01-20, [0.2259556540707167, 0.8854683647305408, 16.38857598119874]
151   : 2022-01-20, [0.2247926100944669, 0.8779298899217226, 16.64727749998381]
152   : 2022-01-20, [0.19006897488644472, 3.4268859998866557, 14.383045025226899]
153   : 2022-01-20, [0.1888337273497272, 3.4576950598777687, 14.603471212772506]
154   : 2022-01-20, [0.18566057932045266, 3.476778803535413, 14.837560617144135]
155   : 2022-01-20, [0.18421540021016367, 3.5038193721100677, 15.061965227679769]
156   : 2022-01-20, [0.18078392829807985, 3.522002659666287, 15.297213412035633]
157   : 2022-01-20, [0.17711841350016938, 3.5375001073422854, 15.535381479157545]
158   : 2022-01-20, [0.173338057845731, 3.554142761460488, 15.772519180693783]
159   : 2022-01-20, [0.1713559106667139, 3.578574285561171, 16.000069803772114]
160   : 2022-01-20, [0.16724545965968254, 3.593390085934317, 16.239364454406]
161   : 2022-01-20, [0.16089144385116805, 3.5986614132974433, 16.49044714285139]
162   : 2022-01-20, [0.15634352332771714, 3.6100896617001133, 16.733566814972168]
163   : 2022-01-20, [0.151647908415348, 3.622515926646851, 16.9758361649378]
164   : 2022-01-20, [0.4568273868115192, 2.371602072304283, 18.171570540884197]
165   : 2022-01-20, [0.46367836927130696, 2.410830666736633, 18.37549096399206]
166   : 2022-01-20, [0.4746558458613156, 2.4735330054221203, 18.551811148716567]
167   : 2022-01-20, [0.4836667605473852, 2.5251061707981046, 18.741227068654513]
168   : 2022-01-20, [0.4927094478249651, 2.576658383377286, 18.930632168797747]
169   : 2022-01-20, [0.49974801847445144, 2.617103065845088, 19.13314891568046]
170   : 2022-01-20, [0.5110974314258498, 2.6824082032287597, 19.30649436534539]
171   : 2022-01-20, [0.5203112431677209, 2.7350122957536365, 19.49467646107864]
172   : 2022-01-20, [0.5295908957413371, 2.7865746941198046, 19.68383441013886]
173   : 2022-01-20, [0.5410317201805932, 2.8570862511226056, 19.851882028696803]
174   : 2022-01-20, [0.5482734732656172, 2.897593325801683, 20.054133200932696]
175   : 2022-01-20, [0.5620990520842449, 2.976475025438375, 20.21142592247738]
176   : 2022-01-20, [0.5717403055661404, 3.032411750729504, 20.395847943704354]
177   : 2022-01-20, [0.5812292617744101, 3.0861570795265543, 20.58261365869903]
178   : 2022-01-20, [0.5930733995844856, 3.1545782593841682, 20.752348341031347]
179   : 2022-01-20, [0.6050056389095019, 3.2230677216686767, 20.921926639421823]
180   : 2022-02-01, [0.1979995051183753, 0.8104285766362879, 8.991571918245336]
181   : 2022-02-01, [0.20145365629236484, 0.8221160092203025, 9.226430334487333]
182   : 2022-02-01, [0.2048644277762193, 0.8340760549955807, 9.4610595172282]
183   : 2022-02-01, [0.2082017230058591, 0.8455059686522506, 9.69629230834189]
184   : 2022-02-01, [0.21027734832422365, 0.8489095274466762, 9.9408131242291]
185   : 2022-02-01, [0.21345355581937336, 0.8594369454771342, 10.177109498703492]
186   : 2022-02-01, [0.21659454560452227, 0.8700359435079152, 10.413369510887561]
187   : 2022-02-01, [0.2183597954588967, 0.8716582743512826, 10.65998193018982]
188   : 2022-02-01, [0.22129952461289543, 0.880730452195562, 10.897970023191542]
189   : 2022-02-01, [0.2241830413486291, 0.8894740571711575, 11.136342901480214]
190   : 2022-02-01, [0.22699202852682202, 0.8978163481359366, 11.37519162333724]
191   : 2022-02-01, [0.2297700751411967, 0.9064456722765334, 11.61378425258227]
192   : 2022-02-01, [0.23245004664448798, 0.9140746813997171, 11.853475271955796]
193   : 2022-02-01, [0.23506591061670595, 0.9213433594146849, 12.093590729968607]
194   : 2022-02-01, [0.237603683164266, 0.9281966341561932, 12.334199682679541]
195   : 2022-02-01, [0.23864416148467252, 0.9257235409363733, 12.585632297578954]
196   : 2022-02-01, [0.24103070572269167, 0.9316981796414779, 12.82727111463583]
197   : 2022-02-01, [0.2434038392859609, 0.9380816140921532, 13.068514546621886]
198   : 2022-02-01, [0.2456718847247408, 0.9431728649556987, 13.311155250319558]
199   : 2022-02-01, [0.241870207718286, 0.9124666862238949, 13.595663106057819]
200   : 2022-02-01, [0.2440239963805645, 0.917010550455738, 13.838965453163697]
201   : 2022-02-01, [0.24470046152690977, 0.9107063790711525, 14.094593159401938]
202   : 2022-02-01, [0.24703514648576452, 0.9146209657696103, 14.338343887744626]
203   : 2022-02-01, [0.22573048364517267, 0.8090978936956977, 14.715171622659128]
204   : 2022-02-01, [0.2253074565022277, 0.8016691658503927, 14.97302337764738]
205   : 2022-02-01, [0.19102265009022487, 3.1136074706922865, 12.94536987921749]
206   : 2022-02-01, [0.19204774121170703, 3.15380586022532, 13.154146398562974]
207   : 2022-02-01, [0.18974527416807135, 3.177141422417448, 13.38311330341448]
208   : 2022-02-01, [0.1889984487813945, 3.206200166734107, 13.6048013844845]
209   : 2022-02-01, [0.18809298493174198, 3.233259556371232, 13.828647458697027]
210   : 2022-02-01, [0.18712224419962553, 3.2608622891137875, 14.052015466686587]
211   : 2022-02-01, [0.18599842567325828, 3.286686221588915, 14.277315352737824]
