Itinerary: ['earth', 'MARS_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
4550  : 2024-02-01, [0.8960132016140393, 3.934152230358207, 17.669834568027753]
4551  : 2024-02-01, [0.9192033620137334, 3.9434957808053204, 17.887300857180946]
4552  : 2024-02-01, [0.9442441365822729, 3.9483666458011824, 18.107389217616547]
4553  : 2024-02-01, [0.96915591399127, 3.9518790862410964, 18.32896499976763]
4554  : 2024-02-01, [0.9939882256953286, 3.954695096288006, 18.551316678016665]
4555  : 2024-02-01, [1.018825912085558, 3.9574239850918187, 18.773750102822625]
4556  : 2024-02-01, [1.0431784701266609, 3.958823427791918, 18.99799810208142]
4557  : 2024-02-01, [1.0644012505160925, 3.960039890007387, 19.22555885947652]
4558  : 2024-02-01, [0.0955546978702275, 4.132442310499818, 20.272002991629954]
4559  : 2024-02-01, [0.5139096784286982, 2.2147783052372545, 22.021312016334047]
4560  : 2024-02-10, [0.25470574660594775, 0.5209119048748668, 9.224382348519185]
4561  : 2024-02-10, [0.26390225751353635, 0.5197206881863938, 9.46637705430007]
4562  : 2024-02-10, [0.27240397397526556, 0.5215478191734625, 9.706048206851273]
4563  : 2024-02-10, [0.28103410394358647, 0.5227623725222456, 9.946203523534168]
4564  : 2024-02-10, [0.2897590984961528, 0.5237189880338989, 10.18652191346995]
4565  : 2024-02-10, [0.2507436129170182, 2.274796406741185, 8.724459980341797]
4566  : 2024-02-10, [0.30348017762789264, 0.7334009734210937, 10.463118848951014]
4567  : 2024-02-10, [0.2654312263502428, 2.3743085183590087, 9.110260255290749]
4568  : 2024-02-10, [0.27404709744086025, 2.411004612340493, 9.314948290218647]
4569  : 2024-02-10, [0.3307904366494847, 0.7583362308202443, 11.16087333253027]
4570  : 2024-02-10, [0.34151873353102713, 0.7596493883984149, 11.398831878070558]
4571  : 2024-02-10, [0.3513262082216896, 0.7648865811723563, 11.633787210605952]
4572  : 2024-02-10, [0.36126965796183985, 0.7693181481839961, 11.869412193854163]
4573  : 2024-02-10, [0.3713492257418419, 0.7735875494084705, 12.105063224849689]
4574  : 2024-02-10, [0.38277844675218875, 0.7729967216400295, 12.34422483160778]
4575  : 2024-02-10, [0.3931635020749774, 0.7759927697181108, 12.580843728206913]
4576  : 2024-02-10, [0.4049556043912542, 0.77443019754377, 12.820614198064975]
4577  : 2024-02-10, [0.41697306598088046, 0.7721765701455634, 13.060850363873557]
4578  : 2024-02-10, [0.42785138875744655, 0.7739722204523013, 13.298176390790253]
4579  : 2024-02-10, [0.44159521867911794, 0.7659539418434954, 13.542450839477388]
4580  : 2024-02-10, [0.4528233566985204, 0.766984592502104, 13.780192050799375]
4581  : 2024-02-10, [0.4670241925387683, 0.7578574235458969, 14.025118383915334]
4582  : 2024-02-10, [0.4800328555075591, 0.7533129052118652, 14.266654239280577]
4583  : 2024-02-10, [0.49320948188610736, 0.7499121846606641, 14.506878333453228]
4584  : 2024-02-10, [0.42484677652490344, 3.2413914084115194, 12.333761815063578]
4585  : 2024-02-10, [0.45018476255474227, 2.9307754402579036, 12.869039797187355]
4586  : 2024-02-10, [0.46297657747433535, 2.9538374034150827, 13.083186019110581]
4587  : 2024-02-10, [0.4773143051027074, 2.9729135228863037, 13.299772172010988]
4588  : 2024-02-10, [0.47091028823757664, 3.453662627115296, 13.075427084647128]
4589  : 2024-02-10, [0.4844783552421212, 3.4918160109692002, 13.273705633788678]
4590  : 2024-02-10, [0.4983780574591264, 3.525147289780509, 13.476474652760364]
4591  : 2024-02-10, [0.5124803656290878, 3.556923166813985, 13.680596467556926]
4592  : 2024-02-10, [0.5268393444477146, 3.5880615532382114, 13.885099102314074]
4593  : 2024-02-10, [0.5429236611786923, 3.6147805370821144, 14.092295801739192]
4594  : 2024-02-10, [0.5577477371956253, 3.645188768362461, 14.297063494441913]
4595  : 2024-02-10, [0.5743201328336281, 3.670533533021725, 14.505146334144646]
4596  : 2024-02-10, [0.5911672725942938, 3.6956034525666723, 14.713229274839035]
4597  : 2024-02-10, [0.608227826941502, 3.720085223369149, 14.921686949689349]
4598  : 2024-02-10, [0.6271699670032718, 3.7403325703464883, 15.13249746265024]
4599  : 2024-02-10, [0.6447021971907999, 3.7639952873023548, 15.341302515506845]
4600  : 2024-02-10, [0.664111000266533, 3.7828394766252775, 15.553049523108191]
4601  : 2024-02-10, [0.6838914234227332, 3.8027337096076463, 15.76337486696962]
4602  : 2024-02-10, [0.7021052436042446, 3.8252248501858426, 15.972669906209912]
4603  : 2024-02-10, [0.7239047218846408, 3.8390524387734795, 16.18704283934188]
4604  : 2024-02-10, [0.744187752875567, 3.8561421234193114, 16.39967012370512]
4605  : 2024-02-10, [0.7663960947452741, 3.86920634559978, 16.614397559654947]
4606  : 2024-02-10, [0.7887359980328744, 3.8808805738252197, 16.830383428141907]
4607  : 2024-02-10, [0.8094895452306896, 3.8965883138928312, 17.04392214087648]
4608  : 2024-02-10, [0.8338701995965695, 3.9037830176731645, 17.262346782730265]
4609  : 2024-02-10, [0.8565733555485183, 3.913973735559453, 17.47945290889203]
4610  : 2024-02-10, [0.8794806288649727, 3.9244809021899347, 17.696038468945094]
4611  : 2024-02-10, [0.90403233161837, 3.9290278153633755, 17.916939853018253]
4612  : 2024-02-10, [0.9269598492731105, 3.9378430548852297, 18.13519709584166]
4613  : 2024-02-10, [0.9516122813771004, 3.9418406928768963, 18.356547025746003]
