Itinerary: ['earth', 'JUPITER_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2386  : 2023-02-01, [2.0189827070424915, 4.371260721331328, 15.10975657162618]
2387  : 2023-02-01, [2.0499216552296216, 4.42232485043971, 15.277753494330668]
2388  : 2023-02-01, [2.0804604088617706, 4.474146023135587, 15.445393568002642]
2389  : 2023-02-01, [2.1111803308048738, 4.526104923369298, 15.612714745825826]
2390  : 2023-02-01, [2.1421991359591828, 4.578456133104276, 15.77934473093654]
2391  : 2023-02-01, [2.173937407967427, 4.62974837380709, 15.946314218225481]
2392  : 2023-02-01, [2.205335163665363, 4.682794974183895, 16.111869862150744]
2393  : 2023-02-01, [2.2374259668425527, 4.734696990502616, 16.277877042654833]
2394  : 2023-02-01, [2.269879016547844, 4.78709852165416, 16.443022461797995]
2395  : 2023-02-01, [2.3026616098336783, 4.839931934286668, 16.607406455879655]
2396  : 2023-02-01, [2.3355218282818866, 4.892671160031482, 16.77180701168663]
2397  : 2023-02-01, [2.3685426943618015, 4.945929686791369, 16.93552761884683]
2398  : 2023-02-01, [2.4019825152626515, 4.9993908347742035, 17.098626649963144]
2399  : 2023-02-01, [2.4362155081447465, 5.052638679290675, 17.26114581256458]
2400  : 2023-02-10, [0.8093511655315967, 2.057027637115238, 7.133621197353166]
2401  : 2023-02-10, [0.8313481606943642, 2.1075853262620132, 7.311066513043623]
2402  : 2023-02-10, [0.8534912860049999, 2.1581087495110345, 7.488399964483966]
2403  : 2023-02-10, [0.8756988030251496, 2.2086848042435507, 7.6656163927313]
2404  : 2023-02-10, [0.8980401818030064, 2.259188761219052, 7.842771056977942]
2405  : 2023-02-10, [0.9204686640298688, 2.309811877513916, 8.019719458456215]
2406  : 2023-02-10, [0.943280037038135, 2.3598538102054833, 8.19686615275638]
2407  : 2023-02-10, [0.9659306294439762, 2.4103375852596383, 8.373731785296387]
2408  : 2023-02-10, [0.9886881566042368, 2.461004450739037, 8.550307392656725]
2409  : 2023-02-10, [1.011810933579045, 2.5109640069500854, 8.727225059470868]
2410  : 2023-02-10, [1.034795428986193, 2.561496488682657, 8.90370808233115]
2411  : 2023-02-10, [1.058177509710304, 2.61170633232188, 9.080116157967817]
2412  : 2023-02-10, [1.0813776097090073, 2.6622508920647134, 9.256371498226278]
2413  : 2023-02-10, [1.1050097407136814, 2.7125195969500995, 9.43247066233622]
