Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
13088 : 2028-01-20, [0.17429513682586636, 0.740052241850865, 0.7047205268316772, 10.380932094491593]
13089 : 2028-01-20, [0.08507000129160526, 0.7953964255434698, 1.8143077036744109, 9.555225869490515]
13090 : 2028-01-20, [0.09801402859540737, 0.8255558961611879, 1.8131320423578898, 9.763298032885517]
13091 : 2028-01-20, [0.08725657869347404, 0.45246270184818455, 2.1625486387864323, 10.047732080671908]
13092 : 2028-01-20, [0.17104955172588873, 0.57904097968585, 2.1567757329153294, 10.093133735672932]
13093 : 2028-01-20, [0.7783377758945654, 0.5212176529724346, 4.18083907905419, 7.76960549207881]
13094 : 2028-01-20, [0.8232228645020463, 0.5972724769457876, 4.172292322451258, 7.9072123361009075]
13095 : 2028-01-20, [0.8775054875017783, 0.6869987495140054, 4.144463018279265, 8.041032744704953]
13096 : 2028-01-20, [0.37850204729660913, 0.9587689094202914, 3.5455057143939177, 9.117223328889182]
13097 : 2028-01-20, [0.7082753343464043, 1.5869083657005933, 1.8643746667654373, 10.090441633187565]
13098 : 2028-01-20, [0.6651194447585309, 1.6146986330180801, 1.8145717798140921, 10.405610142409296]
13099 : 2028-01-20, [0.633068717912641, 1.652595613893975, 1.7767537121926034, 10.68758195600078]
13100 : 2028-01-20, [0.42757990462960205, 0.6462930016803663, 3.3438662431277013, 10.582260850562331]
13101 : 2028-01-20, [0.370800324276714, 0.6421531450529209, 3.3921218957150687, 10.844924634955298]
13102 : 2028-01-20, [0.3488316533077798, 0.6449580312240975, 3.47809907495728, 11.028111240510842]
13103 : 2028-01-20, [0.3255850745823322, 0.6425295016238111, 3.5953746334452354, 11.18651079034862]
13104 : 2028-01-20, [0.7796365379180977, 1.3726231334746641, 1.0896632184662542, 12.758077110140984]
13105 : 2028-01-20, [0.3648474135712888, 0.6636612514067846, 3.9038255118034946, 11.317665823218434]
13106 : 2028-01-20, [0.3847881311232369, 0.6712418124386592, 4.0758388600029996, 11.368131196435103]
13107 : 2028-01-20, [0.1826820255050416, 0.5768761976949613, 0.497056434792708, 15.49338534200729]
13108 : 2028-01-20, [0.6704284771015492, 1.160925199891043, 1.5199265145202547, 13.648719808487153]
13109 : 2028-01-20, [0.17896099333691629, 0.6969435931170939, 3.476361595373575, 12.897733818172416]
13110 : 2028-01-20, [0.28079866379577934, 0.8161341516066047, 3.5073369961162575, 12.895730188481359]
13111 : 2028-01-20, [0.286292481838895, 0.1604968903683175, 2.0352613646242066, 15.26794926316858]
13112 : 2028-01-20, [0.9231366863765649, 0.5544179405740808, 6.096323632799622, 10.426121740249732]
13113 : 2028-01-20, [1.0803816607845904, 0.9795472551444273, 4.0075639524174544, 12.182507131653526]
