Itinerary: ['earth', 'venus', 'mars', 'pluto']
case #: launch date, tof of each leg
4414  : 2024-01-10, [0.06219885916622069, 0.2979876442156159, 18.139813496618164]
4415  : 2024-01-10, [0.9543413637588395, 0.28388762021264785, 17.51177101602851]
4416  : 2024-01-10, [0.94939953989251, 0.2712511615520109, 17.779349298555477]
4417  : 2024-01-10, [0.25216332463150193, 0.13589883047263995, 18.86193784489586]
4418  : 2024-01-10, [0.2523105479885629, 0.135442624736314, 19.112246827275122]
4419  : 2024-01-10, [0.2980778716446897, 0.1535359702677632, 19.29838615808755]
4420  : 2024-01-10, [0.2735855551329286, 0.14290121957426472, 19.58351322529281]
4421  : 2024-01-10, [0.34414363787829594, 0.6477619037924619, 19.258094458329243]
4422  : 2024-01-10, [0.1728108951239363, 0.3988755315198387, 19.928313573356224]
4423  : 2024-01-10, [0.13274567897539405, 0.5538066139023725, 20.063447707122236]
4424  : 2024-01-10, [0.08742537769203214, 0.5451344596002852, 20.367440162707684]
4425  : 2024-01-10, [1.1700768233944983, 0.4956946759487631, 19.58422850065674]
4426  : 2024-01-10, [1.174255658377452, 0.4789150083122468, 19.8468293333103]
4427  : 2024-01-10, [1.1693791691990807, 0.442197040859301, 20.13842378994162]
4428  : 2024-01-10, [0.4873575469978246, 0.858771143944222, 20.653871309057955]
4429  : 2024-01-10, [0.46572469145503936, 0.8579031936510725, 20.926372114893887]
4430  : 2024-01-10, [0.4379816304808708, 0.8526178289840936, 21.209400540535036]
4431  : 2024-01-10, [0.24618585650640018, 0.9172719384955441, 21.586542204998057]
4432  : 2024-01-10, [0.21349876865005304, 0.9359184047475988, 21.850582826602345]
4433  : 2024-01-10, [1.3284972619305606, 0.5783277688195704, 21.34317496924987]
4434  : 2024-01-10, [1.1906716445622203, 0.40999118218954883, 21.899337173248234]
4435  : 2024-01-10, [1.1937008189993874, 0.4004569927519157, 22.155842188248695]
4436  : 2024-01-10, [1.194740005282923, 0.3923014405228706, 22.412958554194205]
4437  : 2024-01-10, [1.1922940642674031, 0.38073797130561843, 22.676967964426982]
4438  : 2024-01-10, [1.1905041976638833, 0.3669691129859263, 22.94252668935019]
4439  : 2024-01-10, [1.1955874479699624, 0.3620070904180076, 23.192405461612026]
4440  : 2024-01-20, [0.1706046922590605, 0.043460148502684634, 9.785935159238255]
4441  : 2024-01-20, [0.21094068152273002, 0.19342606806554047, 9.84563325041173]
4442  : 2024-01-20, [0.21551490635453316, 0.20207612875378472, 10.082408964891682]
4443  : 2024-01-20, [0.16822557836360785, 0.08038971972410688, 10.501384701912286]
4444  : 2024-01-20, [0.16940689406507628, 0.08288811254740511, 10.74770499338752]
4445  : 2024-01-20, [0.17043670344339049, 0.08542537385678121, 10.99413792269983]
4446  : 2024-01-20, [0.17153937656256693, 0.08910580972075606, 11.239354813716677]
4447  : 2024-01-20, [0.17249290093327835, 0.09186850499598866, 11.485638594070732]
4448  : 2024-01-20, [0.21018319611854816, 0.0962062761124081, 11.693610527769046]
4449  : 2024-01-20, [0.20906362992682972, 0.09751546412146482, 11.943420905951704]
4450  : 2024-01-20, [0.17248417140612654, 0.5463998753032009, 11.781115953290675]
4451  : 2024-01-20, [0.17551811318470414, 0.11403161124736463, 12.460450275567931]
4452  : 2024-01-20, [0.17755485199880544, 0.11866181834222135, 12.703783329658973]
4453  : 2024-01-20, [0.17549746893499296, 0.1227413875206178, 12.95176114354439]
4454  : 2024-01-20, [0.17727991374549007, 0.12753978967941168, 13.195180296575098]
4455  : 2024-01-20, [0.17921097141761724, 0.1351108980851668, 13.435678130497216]
4456  : 2024-01-20, [0.18034480108975798, 0.13849865043221707, 13.681156548478025]
4457  : 2024-01-20, [0.17964112017503847, 0.14447966399668544, 13.925879215828274]
4458  : 2024-01-20, [0.18103321809560807, 0.15099259057821848, 14.167974191326174]
4459  : 2024-01-20, [0.18024321828967715, 0.157392908947736, 14.412363872762587]
4460  : 2024-01-20, [0.1814213128631298, 0.1627915134672075, 14.655787173669662]
4461  : 2024-01-20, [0.18027630288759702, 0.16936356275660053, 14.900360134355802]
4462  : 2024-01-20, [0.17223091167957502, 0.16048090358402378, 15.1672881847364]
4463  : 2024-01-20, [0.16572284063244025, 0.16594064529385727, 15.418336514073703]
4464  : 2024-01-20, [0.15859876557724395, 0.17264491288220468, 15.668756321540553]
4465  : 2024-01-20, [0.14304859235591322, 0.1773944562919085, 15.929556951352179]
4466  : 2024-01-20, [0.126093000129199, 0.1828362898982987, 16.191070709972504]
4467  : 2024-01-20, [0.10463569666759885, 0.18808555721560605, 16.457278746116796]
4468  : 2024-01-20, [0.1718812538974341, 0.5455089671516656, 16.2826097789509]
4469  : 2024-01-20, [0.2070963760000565, 0.7692661777613266, 16.273637446238617]
4470  : 2024-01-20, [0.20792437804347141, 0.7831096471842589, 16.50896597477227]
4471  : 2024-01-20, [0.21215776956608945, 0.7894676473192374, 16.748374583114675]
4472  : 2024-01-20, [0.09605505047957302, 0.2214665492028705, 17.682478400317557]
4473  : 2024-01-20, [0.0651048340379284, 0.21453114609418095, 17.97036401986789]
4474  : 2024-01-20, [0.1275525188235304, 0.5305186961533913, 17.84192878502308]
4475  : 2024-01-20, [0.12835273676021977, 0.5273005536339064, 18.094346709605873]
4476  : 2024-01-20, [0.4346392394545046, 0.34483035334371737, 18.220530407201778]
4477  : 2024-01-20, [0.4313810087479439, 0.42871124133452465, 18.38990774991753]
4478  : 2024-01-20, [0.3895472831180067, 0.5282568893314465, 18.582195827550546]
4479  : 2024-01-20, [0.25484246911924197, 0.548655569540355, 18.9465019613404]
4480  : 2024-01-20, [0.05251395426236737, 1.1151075588090502, 18.832378486928583]
4481  : 2024-01-20, [0.06258648923423726, 1.1061728563928015, 19.081240654372962]
4482  : 2024-01-20, [0.2192730275998114, 0.1805415269232657, 20.100185445476924]
4483  : 2024-01-20, [0.23605504815800207, 0.26486112971873377, 20.249083822123264]
4484  : 2024-01-20, [0.09206100125590125, 0.46388106129965817, 20.44405793744444]
4485  : 2024-01-20, [1.1521371059019743, 0.43387467927377577, 19.66398821482425]
4486  : 2024-01-20, [1.1589334405147134, 0.4191194215381424, 19.921947137947143]
4487  : 2024-01-20, [1.1576264819531341, 0.39830117629700057, 20.194072341749866]
4488  : 2024-01-20, [0.47801053788395315, 0.40349776819680816, 21.11849169391924]
4489  : 2024-01-20, [0.48831338160560894, 0.4457196180403852, 21.315967000354004]
4490  : 2024-01-20, [0.1270244245986764, 0.4028597590631745, 21.970115816338147]
4491  : 2024-01-20, [1.172546564907023, 0.37948630023322005, 21.197967134859756]
4492  : 2024-01-20, [1.1602615358703827, 0.3453571409344143, 21.494381323195203]
4493  : 2024-01-20, [1.1436001920052459, 0.28931803210281226, 21.81708177589194]
4494  : 2024-01-20, [1.158888493688751, 0.31599089072315945, 22.02512061558809]
4495  : 2024-01-20, [1.162774547597332, 0.3109397150180266, 22.27628573738464]
4496  : 2024-01-20, [1.1654075456060196, 0.3026242555590084, 22.531968198834974]
4497  : 2024-01-20, [1.80581568569706, 1.0445930404164014, 21.39959127388654]
4498  : 2024-01-20, [0.36861596924842094, 0.593247818136482, 23.5381362126151]
4499  : 2024-01-20, [1.1828392776864691, 0.2983231674001925, 23.26883755491334]
4500  : 2024-02-01, [0.16360590768906905, 0.4377242144611593, 9.398669877849771]
4501  : 2024-02-01, [0.1662865319034271, 0.448285938268968, 9.635427529827604]
4502  : 2024-02-01, [0.17016839672378323, 0.4587509193669999, 9.871080683909218]
4503  : 2024-02-01, [0.21261756066444487, 0.1959660235732529, 10.341416415762303]
4504  : 2024-02-01, [0.21651137578326313, 0.20422609580012444, 10.579262528416612]
4505  : 2024-02-01, [0.2206423294042263, 0.21294774143588516, 10.816409929159887]
4506  : 2024-02-01, [0.1673327770243319, 0.4868682404518944, 10.845798982523773]
4507  : 2024-02-01, [0.16790403232082524, 0.49660588599308375, 11.08549008168609]
4508  : 2024-02-01, [0.16684772070356899, 0.5058006832758836, 11.327351596020549]
4509  : 2024-02-01, [0.16718405140175602, 0.07710937321978731, 12.005706575378456]
4510  : 2024-02-01, [0.1690130381672661, 0.08063579529705721, 12.250351166535678]
4511  : 2024-02-01, [0.16908617671143386, 0.08399826467837075, 12.496915558610194]
4512  : 2024-02-01, [0.17071248033050704, 0.0876829100282263, 12.741604609641268]
4513  : 2024-02-01, [0.16820710566014566, 0.08945360301921905, 12.992339291320635]
4514  : 2024-02-01, [0.16981090044580255, 0.09336564533131582, 13.23682345422288]
4515  : 2024-02-01, [0.17108402753377858, 0.0984443854358198, 13.4804715870304]
4516  : 2024-02-01, [0.17033734123312644, 0.10081505917220165, 13.72884759959467]
4517  : 2024-02-01, [0.1745311037651557, 0.5928947422758749, 13.482574153958968]
4518  : 2024-02-01, [0.17184962050835584, 0.6032297784359448, 13.724920601055699]
4519  : 2024-02-01, [0.16934990929698288, 0.6164111199459998, 13.964238970757016]
4520  : 2024-02-01, [0.16682098561596456, 0.6307338136138698, 14.202445200770168]
4521  : 2024-02-01, [0.15971788109648755, 0.6447472561859211, 14.44553486271759]
4522  : 2024-02-01, [0.15035575412481364, 0.6618222972160962, 14.68782194865909]
4523  : 2024-02-01, [0.13371075930232848, 0.6804271572507286, 14.935862083446944]
4524  : 2024-02-01, [0.9715071858654066, 0.25673668592259524, 14.771756128212]
4525  : 2024-02-01, [0.35787429810387605, 0.4549028668696331, 15.437222835026494]
4526  : 2024-02-01, [0.3277923289865005, 0.5948397752953055, 15.577367895718192]
4527  : 2024-02-01, [0.40427865631325915, 0.5297496223010077, 15.815971721385733]
4528  : 2024-02-01, [0.4001461256527035, 0.5787782622402441, 16.02107561210705]
4529  : 2024-02-01, [0.27327860337678667, 0.08242163087358767, 16.894299765749626]
4530  : 2024-02-01, [0.23431588831271946, 0.08264548471922682, 17.183038626968052]
4531  : 2024-02-01, [0.2803343403851449, 0.2500010116150847, 17.21966464799977]
4532  : 2024-02-01, [0.28058156838020193, 0.24894249950063788, 17.47047593211916]
4533  : 2024-02-01, [0.21994488311392743, 0.7912989490345018, 17.23875616785157]
4534  : 2024-02-01, [0.5456175943632914, 0.8735821025403819, 17.08080030309633]
4535  : 2024-02-01, [0.5701580010828758, 0.9755929454054443, 17.204249053511678]
4536  : 2024-02-01, [0.5784507105960317, 1.0522756962039823, 17.36927359319999]
4537  : 2024-02-01, [0.4114338294320861, 0.6898289977599947, 18.148737172807916]
4538  : 2024-02-01, [0.4407969367609352, 0.7655885223421536, 18.29361454089691]
4539  : 2024-02-01, [0.49510182239596434, 0.9053759040216178, 18.34952227358242]
4540  : 2024-02-01, [0.5771184382410223, 1.0678560798883814, 18.355025481870598]
4541  : 2024-02-01, [0.6875906491938603, 1.3013044080023046, 18.261104942803836]
4542  : 2024-02-01, [1.1060980543311862, 0.34208733414023407, 19.05181461152858]
4543  : 2024-02-01, [1.080937734696923, 0.22412428860982148, 19.444937976693257]
4544  : 2024-02-01, [0.23075291492051114, 0.90389799451389, 19.865349090565598]
4545  : 2024-02-01, [0.20240845927429987, 0.9399314233313987, 20.1076601173943]
4546  : 2024-02-01, [0.7339973276486276, 1.1671628361057158, 19.59883983624566]
4547  : 2024-02-01, [0.18666862730119485, 0.9724409568376688, 20.59089041586114]
4548  : 2024-02-01, [0.13773054698311812, 1.0241699634310806, 20.838099489585804]
4549  : 2024-02-01, [0.04918883452698882, 1.0643139305831213, 21.13649723488989]
4550  : 2024-02-01, [1.1207991360713712, 0.2515975195030884, 21.12760334442554]
4551  : 2024-02-01, [1.1289932095827058, 0.2496455825900686, 21.371361207827224]
4552  : 2024-02-01, [1.1353281764306613, 0.2501495027098043, 21.614522320859535]
4553  : 2024-02-01, [0.48141936659001905, 0.2860092892533105, 22.48257134415667]
4554  : 2024-02-01, [0.8346662733956831, 1.3197024112963254, 21.34563131530799]
4555  : 2024-02-01, [0.08374233917492553, 0.4151640427072024, 23.25109361811787]
4556  : 2024-02-01, [1.193924853908811, 0.28746244036013224, 22.518612705731055]
4557  : 2024-02-01, [1.0003355378755665, 1.9031976666745225, 21.34646679544991]
4558  : 2024-02-01, [1.007972630163465, 2.093970108075417, 21.398057261761117]
4559  : 2024-02-01, [0.40761612129644464, 0.4508721773169532, 23.891511701386598]
4560  : 2024-02-10, [0.1451461954179341, 0.4953884094739856, 9.35946539510808]
4561  : 2024-02-10, [0.14637759600057595, 0.512282277939154, 9.591340126060269]
4562  : 2024-02-10, [0.15469252181886245, 0.055308360086460104, 10.289999118094677]
4563  : 2024-02-10, [0.15456603339731737, 0.057865978042172576, 10.537567988560511]
4564  : 2024-02-10, [0.1553560487251001, 0.0611453398919796, 10.783498611382921]
4565  : 2024-02-10, [0.15471742716109735, 0.06382832961626103, 11.031454243222642]
4566  : 2024-02-10, [0.15196949776624963, 0.0670896418169861, 11.280940860416763]
4567  : 2024-02-10, [0.15523038873196943, 0.5912157917961179, 11.003553819471911]
4568  : 2024-02-10, [0.1555829909173793, 0.608885470644611, 11.23553153843801]
4569  : 2024-02-10, [0.15553620100924842, 0.6271039607610585, 11.467359838229692]
4570  : 2024-02-10, [0.1571515946069945, 0.6433008605486614, 11.699547544844343]
4571  : 2024-02-10, [0.15681369134193063, 0.6620636093174319, 11.931122699340637]
4572  : 2024-02-10, [0.15610689195274674, 0.6777193869385304, 12.166173721108724]
4573  : 2024-02-10, [0.16981080394202572, 0.08123113725589036, 12.998958058802083]
4574  : 2024-02-10, [0.15964580102251377, 0.08364110050164189, 13.256713098475844]
4575  : 2024-02-10, [0.13899512053682406, 0.7926414064803572, 12.818363472982817]
4576  : 2024-02-10, [0.11514807431219258, 0.8326211799710033, 13.052230745716804]
4577  : 2024-02-10, [0.18787039360559746, 0.5892227101811027, 13.472906896213301]
4578  : 2024-02-10, [0.2781458571162209, 0.3594326116066003, 13.86242153127718]
4579  : 2024-02-10, [0.08835494130134515, 0.12745865863078085, 14.534186400067874]
4580  : 2024-02-10, [0.06637039693873574, 0.1324702877211713, 14.801159315340094]
4581  : 2024-02-10, [0.7215791314529018, 1.0832698547115922, 13.445151013835508]
4582  : 2024-02-10, [0.751665120321815, 1.1703354357592768, 13.577999443918907]
4583  : 2024-02-10, [0.7559234548530998, 1.2317231946871243, 13.762353350459776]
4584  : 2024-02-10, [0.33074259227399255, 0.1680245799641841, 15.501232827761823]
4585  : 2024-02-10, [0.3300334813159946, 0.20801768194052261, 15.711948836743483]
4586  : 2024-02-10, [0.20691240849073475, 0.43741359864447954, 15.855673992864787]
4587  : 2024-02-10, [0.23956389541469103, 0.09199134928124693, 16.418444755304062]
4588  : 2024-02-10, [0.3796407012990948, 0.4737823733741687, 16.146576925326734]
4589  : 2024-02-10, [0.3657037963421397, 0.4840426753146473, 16.400253528343214]
4590  : 2024-02-10, [0.09510989055660513, 0.7820249432283835, 16.62286516621501]
4591  : 2024-02-10, [0.2959670513746971, 0.4404856787852571, 17.013547269840046]
4592  : 2024-02-10, [0.29953127408124497, 0.4811120670662247, 17.21935665885253]
4593  : 2024-02-10, [0.48412166409143037, 0.659513207817276, 17.106365128091294]
4594  : 2024-02-10, [0.48951952019854844, 0.6962434490684497, 17.314237030733004]
4595  : 2024-02-10, [0.1346614977565315, 0.19915323010338884, 18.41618527214008]
4596  : 2024-02-10, [0.12722695190741717, 0.21796159712573485, 18.654811450966847]
4597  : 2024-02-10, [0.10048296617031599, 0.24096305988976402, 18.90855397393992]
4598  : 2024-02-10, [0.10243608430544542, 0.2692766749944018, 19.128287240700153]
4599  : 2024-02-10, [0.3352904483153664, 0.5576849751725143, 18.85702457651212]
4600  : 2024-02-10, [0.3232773215968329, 0.5779768418218395, 19.09874583658133]
4601  : 2024-02-10, [0.19549545389958523, 0.8024904286672795, 19.252014117433134]
4602  : 2024-02-10, [0.19222172958477474, 0.844092855081466, 19.46368541533376]
4603  : 2024-02-10, [0.1532363031916545, 0.917480106409675, 19.67928359039867]
4604  : 2024-02-10, [0.10537262265176164, 1.0249733546808668, 19.86965402266737]
4605  : 2024-02-10, [0.8264531397326842, 1.0999407868971862, 19.32360607337013]
4606  : 2024-02-10, [0.23617257767331185, 0.4213859410615256, 20.842441481265162]
4607  : 2024-02-10, [0.11486672384604103, 0.8866993063307793, 20.74843396982318]
4608  : 2024-02-10, [0.3362211716724992, 0.19579773440968443, 21.467981093917818]
4609  : 2024-02-10, [0.5335877614328638, 0.8452446375526159, 20.871167601014523]
4610  : 2024-02-10, [0.99271581741445, 1.6425905654842736, 19.864693617101278]
4611  : 2024-02-10, [0.9760177004529987, 1.7012431897183482, 20.072739109828653]
4612  : 2024-02-10, [0.9444599298345887, 1.7706924001111037, 20.284847670054308]
4613  : 2024-02-10, [0.9420759409861502, 1.536079928640495, 20.771844130373356]
4614  : 2024-02-10, [0.21780442423371654, 1.105501982284741, 22.176693593481545]
4615  : 2024-02-10, [0.05875597069083473, 1.2018338834762978, 22.48941014583287]
4616  : 2024-02-10, [0.16028435665654556, 0.3181809819938139, 23.521534661349644]
4617  : 2024-02-10, [0.20245834617228375, 0.27331679643064877, 23.77422485739707]
4618  : 2024-02-10, [0.9362752369374299, 1.8600748589686025, 21.703649904093968]
4619  : 2024-02-10, [0.6519599868707806, 1.031911339994661, 23.066128673134557]
4620  : 2024-02-20, [0.1423147104748531, 0.48712406876342845, 9.370561220761719]
4621  : 2024-02-20, [0.14322774691867257, 0.5026684668853686, 9.604103786195958]
4622  : 2024-02-20, [0.14266340378674264, 0.5210027999625102, 9.836333796250747]
4623  : 2024-02-20, [0.1420209174528605, 0.5405190835963876, 10.067459998950753]
4624  : 2024-02-20, [0.14270794921123917, 0.5607465591057417, 10.296545491683018]
4625  : 2024-02-20, [0.13325421792189585, 0.6211516202102586, 10.495594161867846]
4626  : 2024-02-20, [0.1297898207727525, 0.6474291513907546, 10.722781027836493]
4627  : 2024-02-20, [0.12791055988666902, 0.6767814374517281, 10.945308002661603]
4628  : 2024-02-20, [0.12552157736126848, 0.7045711393159765, 11.169907283322756]
4629  : 2024-02-20, [0.25817131435172785, 0.2476180206898967, 11.744210664958375]
4630  : 2024-02-20, [0.2802946719873327, 0.3095831944255522, 11.910122133587116]
4631  : 2024-02-20, [0.2876704568728211, 0.3279105354455962, 12.134419007681585]
4632  : 2024-02-20, [0.291431561855296, 0.34266977990201686, 12.365898658242688]
4633  : 2024-02-20, [0.2992463897643112, 0.3623640971076324, 12.588389513128059]
4634  : 2024-02-20, [0.3049324211533917, 0.38210630417946984, 12.81296127466714]
4635  : 2024-02-20, [0.14637584855140065, 0.7431052204478727, 12.860518931000726]
4636  : 2024-02-20, [0.13697750682552848, 0.7741247781077679, 13.088897715066704]
4637  : 2024-02-20, [0.11747653252041676, 0.8148501719374514, 13.31767329554213]
4638  : 2024-02-20, [0.27098341489313926, 0.3196283985240552, 13.909388186582804]
4639  : 2024-02-20, [0.27807587549188584, 0.3313513868865817, 14.14057273762153]
4640  : 2024-02-20, [0.2870601570188526, 0.34022194767120567, 14.372717895309943]
4641  : 2024-02-20, [0.15337251233158522, 0.8504907891509028, 14.246136698517514]
4642  : 2024-02-20, [0.1429788838692816, 0.9440929722960789, 14.412928143834641]
4643  : 2024-02-20, [0.26600359331382906, 0.36218313560092164, 15.121813271085248]
4644  : 2024-02-20, [0.09720544103192137, 1.112001811181054, 14.790792747787025]
4645  : 2024-02-20, [0.7813136301610801, 1.2615587900317071, 14.207127579807212]
4646  : 2024-02-20, [0.21525973759023234, 0.3615017331943507, 15.923238529215418]
