Itinerary: ['earth', 'jupiter', 'pluto']
4528  : 2024-02-01, [0.8168974777213002, 16.1831025222787]
4529  : 2024-02-01, [0.8274296157513118, 16.422570384248687]
4530  : 2024-02-01, [0.8379086034718191, 16.662091396528183]
4531  : 2024-02-01, [0.8483696874978084, 16.901630312502192]
4532  : 2024-02-01, [0.8588150482719872, 17.14118495172801]
4533  : 2024-02-01, [0.8692267580486777, 17.38077324195132]
4534  : 2024-02-01, [0.8795858614813773, 17.620414138518623]
4535  : 2024-02-01, [0.8898922957414269, 17.86010770425857]
4536  : 2024-02-01, [0.9001861041469095, 18.09981389585309]
4537  : 2024-02-01, [0.9104677817698691, 18.33953221823013]
4538  : 2024-02-01, [0.9206989629939617, 18.579301037006037]
4539  : 2024-02-01, [0.9308775759348227, 18.819122424065174]
4540  : 2024-02-01, [0.9410482549624043, 19.058951745037596]
4541  : 2024-02-01, [0.9511897182131369, 19.29881028178686]
4542  : 2024-02-01, [0.9612785365015376, 19.53872146349846]
4543  : 2024-02-01, [0.9713631965986764, 19.778636803401323]
4544  : 2024-02-01, [0.9814412076676177, 20.018558792332385]
4545  : 2024-02-01, [0.9914251828239485, 20.258574817176054]
4546  : 2024-02-01, [1.0014496785957343, 20.498550321404267]
4547  : 2024-02-01, [1.011427574953005, 20.738572425046993]
4548  : 2024-02-01, [1.0213314906749849, 20.978668509325015]
4549  : 2024-02-01, [1.031279328491314, 21.218720671508688]
4550  : 2024-02-01, [1.0411812421855202, 21.45881875781448]
4551  : 2024-02-01, [1.0510076197125526, 21.698992380287446]
4552  : 2024-02-01, [1.0608814616562754, 21.939118538343724]
4553  : 2024-02-01, [1.0706569464572193, 22.179343053542777]
4554  : 2024-02-01, [1.0804595790960567, 22.419540420903942]
4555  : 2024-02-01, [1.090206082480916, 22.659793917519085]
4556  : 2024-02-01, [1.0999597207251968, 22.900040279274805]
4557  : 2024-02-01, [1.1096886647612685, 23.140311335238728]
4558  : 2024-02-01, [1.1193591887219707, 23.38064081127803]
4559  : 2024-02-01, [1.1290384066348553, 23.620961593365145]
4560  : 2024-02-10, [0.5061124983097133, 9.493887501690287]
4561  : 2024-02-10, [0.517783821524002, 9.732216178476]
4562  : 2024-02-10, [0.5294314442761912, 9.970568555723808]
4563  : 2024-02-10, [0.5410191525760989, 10.208980847423902]
4564  : 2024-02-10, [0.5525650813858687, 10.44743491861413]
4565  : 2024-02-10, [0.5640692749805952, 10.685930725019405]
4566  : 2024-02-10, [0.5755533005438054, 10.924446699456196]
4567  : 2024-02-10, [0.5869755476431089, 11.16302445235689]
4568  : 2024-02-10, [0.5983567749167245, 11.401643225083275]
4569  : 2024-02-10, [0.609696829356277, 11.640303170643723]
4570  : 2024-02-10, [0.6209959177260772, 11.879004082273923]
4571  : 2024-02-10, [0.6322544212540389, 12.11774557874596]
4572  : 2024-02-10, [0.6434574388481895, 12.35654256115181]
4573  : 2024-02-10, [0.6546343117335313, 12.595365688266469]
4574  : 2024-02-10, [0.6657967843673005, 12.8342032156327]
4575  : 2024-02-10, [0.6768936137501125, 13.073106386249888]
4576  : 2024-02-10, [0.6879504526515189, 13.312049547348481]
4577  : 2024-02-10, [0.6989512632420589, 13.55104873675794]
4578  : 2024-02-10, [0.7099281033420589, 13.790071896657942]
4579  : 2024-02-10, [0.7208655389811971, 14.029134461018801]
4580  : 2024-02-10, [0.7317638176400549, 14.268236182359944]
4581  : 2024-02-10, [0.7426064142715744, 14.507393585728426]
4582  : 2024-02-10, [0.7534268006724172, 14.746573199327583]
4583  : 2024-02-10, [0.7641774124045434, 14.985822587595457]
4584  : 2024-02-10, [0.7749038684566304, 15.225096131543369]
4585  : 2024-02-10, [0.7856098840420376, 15.464390115957961]
4586  : 2024-02-10, [0.796278853946587, 15.703721146053411]
4587  : 2024-02-10, [0.8068931604136104, 15.943106839586392]
4588  : 2024-02-10, [0.8174892806387777, 16.182510719361225]
4589  : 2024-02-10, [0.8280309848085017, 16.4219690151915]
4590  : 2024-02-10, [0.8385557041031533, 16.661444295896846]
4591  : 2024-02-10, [0.8490087694618422, 16.90099123053816]
4592  : 2024-02-10, [0.8594450381578052, 17.140554961842195]
4593  : 2024-02-10, [0.8698664618199901, 17.380133538180008]
4594  : 2024-02-10, [0.8802353031203811, 17.619764696879617]
4595  : 2024-02-10, [0.8905910494989437, 17.859408950501056]
4596  : 2024-02-10, [0.9008547750015099, 18.09914522499849]
4597  : 2024-02-10, [0.9111463033294723, 18.338853696670526]
4598  : 2024-02-10, [0.9213873810431211, 18.57861261895688]
4599  : 2024-02-10, [0.9316182136765183, 18.81838178632348]
4600  : 2024-02-10, [0.941756177105506, 19.058243822894497]
4601  : 2024-02-10, [0.951927940957347, 19.298072059042653]
4602  : 2024-02-10, [0.9620508875705457, 19.537949112429455]
4603  : 2024-02-10, [0.9721213797192315, 19.77787862028077]
4604  : 2024-02-10, [0.982188833293167, 20.01781116670683]
4605  : 2024-02-10, [0.9922295385024635, 20.257770461497536]
4606  : 2024-02-10, [1.0022170971222089, 20.49778290287779]
4607  : 2024-02-10, [1.012205139877322, 20.737794860122676]
4608  : 2024-02-10, [1.0221891766683795, 20.977810823331623]
4609  : 2024-02-10, [1.032076696427164, 21.217923303572835]
4610  : 2024-02-10, [1.0419887399577246, 21.458011260042273]
4611  : 2024-02-10, [1.0518462942318187, 21.698153705768185]
4612  : 2024-02-10, [1.0617087431345849, 21.938291256865416]
4613  : 2024-02-10, [1.071546773432157, 22.178453226567843]
4614  : 2024-02-10, [1.0813282811189409, 22.41867171888106]
4615  : 2024-02-10, [1.091117009354881, 22.658882990645118]
4616  : 2024-02-10, [1.1008261718491676, 22.899173828150833]
4617  : 2024-02-10, [1.1105871173833142, 23.13941288261669]
4618  : 2024-02-10, [1.1202450164884075, 23.379754983511592]
4619  : 2024-02-10, [1.129934060108661, 23.62006593989134]
4620  : 2024-02-20, [0.5065145326326901, 9.49348546736731]
4621  : 2024-02-20, [0.5182153663138404, 9.731784633686159]
4622  : 2024-02-20, [0.5298560088799109, 9.97014399112009]
4623  : 2024-02-20, [0.5414548667283806, 10.20854513327162]
4624  : 2024-02-20, [0.5530119103074836, 10.446988089692516]
4625  : 2024-02-20, [0.5645481518328287, 10.68545184816717]
4626  : 2024-02-20, [0.5760228261911785, 10.923977173808822]
4627  : 2024-02-20, [0.5874562492203806, 11.162543750779621]
4628  : 2024-02-20, [0.5988486528705027, 11.401151347129499]
4629  : 2024-02-20, [0.6101998527496024, 11.639800147250398]
4630  : 2024-02-20, [0.6215101423317907, 11.87848985766821]
4631  : 2024-02-20, [0.6327798222571813, 12.11722017774282]
4632  : 2024-02-20, [0.6440339194587811, 12.355966080541219]
4633  : 2024-02-20, [0.6552079144244314, 12.594792085575568]
4634  : 2024-02-20, [0.6663560811972841, 12.833643918802716]
4635  : 2024-02-20, [0.6774641232810272, 13.072535876718973]
4636  : 2024-02-20, [0.6885321226663167, 13.311467877333682]
4637  : 2024-02-20, [0.6995599492722413, 13.550440050727758]
4638  : 2024-02-20, [0.7105321612803048, 13.789467838719695]
4639  : 2024-02-20, [0.7214807955636976, 14.028519204436304]
4640  : 2024-02-20, [0.7323903011143833, 14.267609698885618]
4641  : 2024-02-20, [0.7432608392561472, 14.506739160743852]
4642  : 2024-02-20, [0.7540757334062851, 14.745924266593716]
4643  : 2024-02-20, [0.7648694649995068, 14.985130535000495]
4644  : 2024-02-20, [0.7756252051786058, 15.224374794821394]
4645  : 2024-02-20, [0.7863257765471008, 15.4636742234529]
4646  : 2024-02-20, [0.7969724852366072, 15.703027514763393]
4647  : 2024-02-20, [0.8076161567794224, 15.942383843220579]
4648  : 2024-02-20, [0.8182056045036129, 16.18179439549639]
4649  : 2024-02-20, [0.8287770643725738, 16.421222935627423]
4650  : 2024-02-20, [0.8392948082922812, 16.66070519170772]
4651  : 2024-02-20, [0.8497964357649366, 16.90020356423506]
4652  : 2024-02-20, [0.8602066091126078, 17.13979339088739]
4653  : 2024-02-20, [0.8706395126022775, 17.379360487397726]
4654  : 2024-02-20, [0.8810391883432699, 17.618960811656727]
4655  : 2024-02-20, [0.8913872155798694, 17.85861278442013]
4656  : 2024-02-20, [0.9017227103037447, 18.098277289696252]
4657  : 2024-02-20, [0.9119652304942721, 18.33803476950573]
4658  : 2024-02-20, [0.9222379197748248, 18.577762080225174]
